Key Id,Tournament Id,tournament Name,Match Id,Match Name,Team 1,Team 2,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,Home Team FIFA Rank,Away Team FIFA Rank,Year,Home Team Squad Value (€M),Away Team Squad Value (€M),Home team win percentage,Away team win percentage,Home team wins in last 5 matches,Home team draws in last 5 matches,Home team losses in last 5 matches,Away team wins in last 5 matches,Away team draws in last 5 matches,Away team losses in last 5 matches,Home team points in last 5 matches,Away team points in last 5 matches,Home avg goals scored,Home avg goals conceded,Away avg goals scored,Away avg goals conceded,Home Elo,Away Elo,Head to Head Home Team Win,Head to Head Away Team Win,Head to Head Draw
1,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,France,Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,France,FRA,T-44,Mexico,MEX,41,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0,6.0,20.0,1930,1.5,0.5,0.3333,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,1000.0,0,0,0
2,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,United States,Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-06,Belgium,BEL,30,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,10.0,8.0,1930,0.9,1.1,0.6667,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,1000.0,0,0,0
3,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,Yugoslavia,Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-09,Brazil,BRA,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,4.0,5.0,1930,1.8,1.6,0.6667,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,1000.0,0,0,0
4,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,Romania,Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,Romania,ROU,T-54,Peru,PER,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,14.0,18.0,1930,0.9,0.7,0.5,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,1000.0,0,0,0
5,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,Argentina,France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-28,France,FRA,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2.0,6.0,1930,2.2,1.5,0.8,0.3333,0,0,0,1,0,0,0,3,0.0,0.0,4.0,1.0,1000.0,1015.0,0,0,0
6,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,Chile,Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,30,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,12.0,20.0,1930,1.0,0.5,0.6667,0.0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,4.0,1000.0,985.0,0,0,0
7,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,Yugoslavia,Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-07,Bolivia,BOL,40,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,4.0,25.0,1930,1.8,0.4,0.6667,0.0,1,0,0,0,0,0,3,0,2.0,1.0,0.0,0.0,1015.0,1000.0,0,0,0
8,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,United States,Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-53,Paraguay,PRY,30,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,10.0,15.0,1930,0.9,0.8,0.6667,0.5,1,0,0,0,0,0,3,0,3.0,0.0,0.0,0.0,1015.0,1000.0,0,0,0
9,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,Uruguay,Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-54,Peru,PER,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1.0,18.0,1930,2.5,0.7,1.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,3.0,1000.0,985.0,0,0,0
10,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,Chile,France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,12.0,6.0,1930,1.0,1.5,0.6667,0.3333,1,0,0,1,0,1,3,3,3.0,0.0,2.0,1.0,1014.35,999.35,0,0,0
